Date,Country_type,Confirmed_cases
07-2020,Developed,104173270
07-2020,Developing,198673991
07-2020,Underdeveloped,3489239
08-2020,Developed,133499751
08-2020,Developing,350325383
08-2020,Underdeveloped,5326261
09-2020,Developed,172536433
09-2020,Developing,496608743
09-2020,Underdeveloped,7664354
10-2020,Developed,266697465
10-2020,Developing,668236305
10-2020,Underdeveloped,11244736
11-2020,Developed,444584394
11-2020,Developing,796173963
11-2020,Underdeveloped,14423763
12-2020,Developed,630650188
12-2020,Developing,1038573329
12-2020,Underdeveloped,17724254
01-2021,Developed,807268683
01-2021,Developing,1230833234
01-2021,Underdeveloped,20667506
02-2021,Underdeveloped,20667283
02-2021,Developing,1206734371
02-2021,Developed,831993791
